Time,NodeID,Population,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_MALE,STATE_IMMATURE,STATE_LARVA,STATE_EGG,NewEggsCount,IndoorBitesCount,IndoorBitesCount-Infectious,OutdoorBitesCount,OutdoorBitesCount-Infectious,NewAdults,UnmatedAdults,DiedBeforeFeeding,DiedDuringFeedingIndoor,DiedDuringFeedingOutdoor,SillySkeeter_AvailableHabitat,SillySkeeter_EggCrowdingCorrection,NumInfectousBitesGiven,NumInfectousBitesReceived,InfectiousBitesGivenMinusReceived,NumVectorsNone,NumVectorsOnlyOocysts,NumVectorsOnlySporozoites,NumVectorsBothOocystsSporozoites,NumBitesAdults,NumBitesInfected,NumBitesInfectious,NumParasiteCohortsOocysts,NumParasiteCohortsSporozoites,NumOocysts,NumSporozoites,NumInfectiousToAdult,NumInfectiousToInfected
0,340461476,100,8717,0,0,8717,8998,0,0,609200,304600,1434,0,1440,0,0,0,977,143,163,19487.5,1,0,0,0,0,0,0,0,2874,0,0,0,0,0,0,0,0
1,340461476,100,7615,0,0,7615,8136,0,19579,548000,274000,1283,0,1316,0,0,0,829,127,146,9128.76,0.0319886,0,0,0,7615,0,0,0,2599,0,0,0,0,0,0,0,0
2,340461476,100,6664,0,0,6664,7328,0,26975,484600,242300,1155,0,1160,0,0,0,736,107,108,10620.8,0.0166583,0,0,0,6664,0,0,0,2315,0,0,0,0,0,0,0,0
3,340461476,100,5829,0,0,5829,6669,0,34903,401200,200600,992,0,924,0,0,0,636,109,90,11260.6,0.0219167,0,0,0,5829,0,0,0,1916,0,0,0,0,0,0,0,0
4,340461476,100,5105,0,0,5105,6022,0,42543,368400,184200,859,0,886,0,0,0,541,93,90,11879.7,0.0280673,0,0,0,5105,0,0,0,1745,0,0,0,0,0,0,0,0
5,340461476,100,4434,0,0,4434,5482,0,50548,326400,163200,775,0,783,0,0,0,510,82,79,11836.1,0.0322467,0,0,0,4434,0,0,0,1558,0,0,0,0,0,0,0,0
6,340461476,100,3917,0,0,3917,4969,0,57574,266800,133400,653,0,610,0,0,0,413,59,45,12484.7,0.0362627,0,0,0,3917,0,0,0,1263,0,0,0,0,0,0,0,0
7,340461476,100,3422,0,0,3422,4545,0,64606,243800,121900,589,0,574,0,0,0,379,60,56,12850.8,0.0467943,0,0,0,3422,0,0,0,1163,0,0,0,0,0,0,0,0
8,340461476,100,2972,0,0,2972,4160,0,71138,216000,108000,516,0,510,0,0,0,347,53,50,13450.2,0.0527103,0,0,0,2972,0,0,0,1026,0,0,0,0,0,0,0,0
9,340461476,100,2584,0,0,2584,3757,0,77862,183800,91900,477,0,395,0,0,0,306,49,33,13600.7,0.0622696,0,0,0,2584,0,0,0,872,0,0,0,0,0,0,0,0
10,340461476,100,2261,0,0,2261,3411,0,84240,158600,79300,399,0,369,0,0,0,245,40,38,13849.5,0.0739974,0,0,0,2261,0,0,0,768,0,0,0,0,0,0,0,0
11,340461476,100,1969,0,0,1969,3081,0,90162,145600,72800,348,0,346,0,0,0,216,42,34,14315.5,0.0873235,0,0,0,1969,0,0,0,694,0,0,0,0,0,0,0,0
12,340461476,100,1732,0,0,1732,2797,0,96118,126200,63100,321,0,279,0,0,0,173,27,37,14517.3,0.0983208,0,0,0,1732,0,0,0,600,0,0,0,0,0,0,0,0
13,340461476,100,1511,0,0,1511,2565,0,101789,103600,51800,257,0,234,0,0,0,172,27,22,14782.3,0.115034,0,0,0,1511,0,0,0,491,0,0,0,0,0,0,0,0
14,340461476,100,1331,0,0,1331,2316,0,106855,94800,47400,209,0,234,0,0,0,142,13,25,15438.3,0.142686,0,0,0,1331,0,0,0,443,0,0,0,0,0,0,0,0
