Time,NodeID,Genome,VectorPopulation
0,1,X-Ad-Be:X-Ad-Be,0
0,1,X-Ad-Be:X-Ar-Be,0
0,1,X-Ad-Be:X-Aw-Be,0
0,1,X-Ad-Be:X-Ad-Bw,0
0,1,X-Ad-Be:X-Ar-Bw,0
0,1,X-Ad-Be:X-Aw-Bw,0
0,1,X-Ar-Be:X-Ar-Be,0
0,1,X-Ar-Be:X-Aw-Be,0
0,1,X-Ar-Be:X-Ar-Bw,0
0,1,X-Ar-Be:X-Aw-Bw,0
0,1,X-Aw-Be:X-Aw-Be,0
0,1,X-Aw-Be:X-Aw-Bw,0
0,1,X-Ad-Bw:X-Ad-Bw,0
0,1,X-Ad-Bw:X-Ar-Bw,0
0,1,X-Ad-Bw:X-Aw-Bw,0
0,1,X-Ar-Bw:X-Ar-Bw,8986
0,1,X-Ar-Bw:X-Aw-Bw,0
0,1,X-Aw-Bw:X-Aw-Bw,0
1,1,X-Ad-Be:X-Ad-Be,0
1,1,X-Ad-Be:X-Ar-Be,0
1,1,X-Ad-Be:X-Aw-Be,0
1,1,X-Ad-Be:X-Ad-Bw,0
1,1,X-Ad-Be:X-Ar-Bw,0
1,1,X-Ad-Be:X-Aw-Bw,0
1,1,X-Ar-Be:X-Ar-Be,0
1,1,X-Ar-Be:X-Aw-Be,0
1,1,X-Ar-Be:X-Ar-Bw,0
1,1,X-Ar-Be:X-Aw-Bw,0
1,1,X-Aw-Be:X-Aw-Be,0
1,1,X-Aw-Be:X-Aw-Bw,0
1,1,X-Ad-Bw:X-Ad-Bw,0
1,1,X-Ad-Bw:X-Ar-Bw,0
1,1,X-Ad-Bw:X-Aw-Bw,0
1,1,X-Ar-Bw:X-Ar-Bw,8039
1,1,X-Ar-Bw:X-Aw-Bw,0
1,1,X-Aw-Bw:X-Aw-Bw,0
2,1,X-Ad-Be:X-Ad-Be,0
2,1,X-Ad-Be:X-Ar-Be,0
2,1,X-Ad-Be:X-Aw-Be,0
2,1,X-Ad-Be:X-Ad-Bw,0
2,1,X-Ad-Be:X-Ar-Bw,0
2,1,X-Ad-Be:X-Aw-Bw,0
2,1,X-Ar-Be:X-Ar-Be,0
2,1,X-Ar-Be:X-Aw-Be,0
2,1,X-Ar-Be:X-Ar-Bw,0
2,1,X-Ar-Be:X-Aw-Bw,0
2,1,X-Aw-Be:X-Aw-Be,0
2,1,X-Aw-Be:X-Aw-Bw,0
2,1,X-Ad-Bw:X-Ad-Bw,0
2,1,X-Ad-Bw:X-Ar-Bw,0
2,1,X-Ad-Bw:X-Aw-Bw,0
2,1,X-Ar-Bw:X-Ar-Bw,7167
2,1,X-Ar-Bw:X-Aw-Bw,0
2,1,X-Aw-Bw:X-Aw-Bw,0
3,1,X-Ad-Be:X-Ad-Be,0
3,1,X-Ad-Be:X-Ar-Be,0
3,1,X-Ad-Be:X-Aw-Be,0
3,1,X-Ad-Be:X-Ad-Bw,0
3,1,X-Ad-Be:X-Ar-Bw,0
3,1,X-Ad-Be:X-Aw-Bw,0
3,1,X-Ar-Be:X-Ar-Be,0
3,1,X-Ar-Be:X-Aw-Be,0
3,1,X-Ar-Be:X-Ar-Bw,0
3,1,X-Ar-Be:X-Aw-Bw,0
3,1,X-Aw-Be:X-Aw-Be,0
3,1,X-Aw-Be:X-Aw-Bw,0
3,1,X-Ad-Bw:X-Ad-Bw,0
3,1,X-Ad-Bw:X-Ar-Bw,0
3,1,X-Ad-Bw:X-Aw-Bw,0
3,1,X-Ar-Bw:X-Ar-Bw,6350
3,1,X-Ar-Bw:X-Aw-Bw,0
3,1,X-Aw-Bw:X-Aw-Bw,0
4,1,X-Ad-Be:X-Ad-Be,0
4,1,X-Ad-Be:X-Ar-Be,0
4,1,X-Ad-Be:X-Aw-Be,0
4,1,X-Ad-Be:X-Ad-Bw,0
4,1,X-Ad-Be:X-Ar-Bw,0
4,1,X-Ad-Be:X-Aw-Bw,0
4,1,X-Ar-Be:X-Ar-Be,0
4,1,X-Ar-Be:X-Aw-Be,0
4,1,X-Ar-Be:X-Ar-Bw,0
4,1,X-Ar-Be:X-Aw-Bw,0
4,1,X-Aw-Be:X-Aw-Be,0
4,1,X-Aw-Be:X-Aw-Bw,0
4,1,X-Ad-Bw:X-Ad-Bw,0
4,1,X-Ad-Bw:X-Ar-Bw,0
4,1,X-Ad-Bw:X-Aw-Bw,0
4,1,X-Ar-Bw:X-Ar-Bw,5655
4,1,X-Ar-Bw:X-Aw-Bw,0
4,1,X-Aw-Bw:X-Aw-Bw,0
5,1,X-Ad-Be:X-Ad-Be,0
5,1,X-Ad-Be:X-Ar-Be,0
5,1,X-Ad-Be:X-Aw-Be,0
5,1,X-Ad-Be:X-Ad-Bw,0
5,1,X-Ad-Be:X-Ar-Bw,0
5,1,X-Ad-Be:X-Aw-Bw,0
5,1,X-Ar-Be:X-Ar-Be,0
5,1,X-Ar-Be:X-Aw-Be,0
5,1,X-Ar-Be:X-Ar-Bw,0
5,1,X-Ar-Be:X-Aw-Bw,0
5,1,X-Aw-Be:X-Aw-Be,0
5,1,X-Aw-Be:X-Aw-Bw,0
5,1,X-Ad-Bw:X-Ad-Bw,0
5,1,X-Ad-Bw:X-Ar-Bw,0
5,1,X-Ad-Bw:X-Aw-Bw,0
5,1,X-Ar-Bw:X-Ar-Bw,5008
5,1,X-Ar-Bw:X-Aw-Bw,0
5,1,X-Aw-Bw:X-Aw-Bw,0
6,1,X-Ad-Be:X-Ad-Be,0
6,1,X-Ad-Be:X-Ar-Be,0
6,1,X-Ad-Be:X-Aw-Be,0
6,1,X-Ad-Be:X-Ad-Bw,0
6,1,X-Ad-Be:X-Ar-Bw,0
6,1,X-Ad-Be:X-Aw-Bw,0
6,1,X-Ar-Be:X-Ar-Be,0
6,1,X-Ar-Be:X-Aw-Be,0
6,1,X-Ar-Be:X-Ar-Bw,0
6,1,X-Ar-Be:X-Aw-Bw,0
6,1,X-Aw-Be:X-Aw-Be,0
