Time,NodeID,Alleles,VectorPopulation,STATE_MALE
0,1,Ad,0,0
0,1,Am,0,0
0,1,Aw,8742,8971
0,1,Bd,0,0
0,1,Bm,0,0
0,1,Bw,8742,8971
0,1,Ce,0,0
0,1,Cm,0,0
0,1,Cw,8742,8971
0,1,X,8742,8971
0,1,Y,0,8971
1,1,Ad,0,0
1,1,Am,0,0
1,1,Aw,7540,8045
1,1,Bd,0,0
1,1,Bm,0,0
1,1,Bw,7540,8045
1,1,Ce,0,0
1,1,Cm,0,0
1,1,Cw,7540,8045
1,1,X,7540,8045
1,1,Y,0,8045
2,1,Ad,0,0
2,1,Am,0,0
2,1,Aw,6527,7132
2,1,Bd,0,0
2,1,Bm,0,0
2,1,Bw,6527,7132
2,1,Ce,0,0
2,1,Cm,0,0
2,1,Cw,6527,7132
2,1,X,6527,7132
2,1,Y,0,7132
3,1,Ad,0,0
3,1,Am,0,0
3,1,Aw,5629,6340
3,1,Bd,0,0
3,1,Bm,0,0
3,1,Bw,5629,6340
3,1,Ce,0,0
3,1,Cm,0,0
3,1,Cw,5629,6340
3,1,X,5629,6340
3,1,Y,0,6340
4,1,Ad,0,0
4,1,Am,0,0
4,1,Aw,4811,5601
4,1,Bd,0,0
4,1,Bm,0,0
4,1,Bw,4811,5601
4,1,Ce,0,0
4,1,Cm,0,0
4,1,Cw,4811,5601
4,1,X,4811,5601
4,1,Y,0,5601
5,1,Ad,0,0
5,1,Am,0,0
5,1,Aw,4099,4939
5,1,Bd,0,0
5,1,Bm,0,0
5,1,Bw,4099,4939
5,1,Ce,0,0
5,1,Cm,0,0
5,1,Cw,4099,4939
5,1,X,4099,4939
5,1,Y,0,4939
6,1,Ad,0,0
6,1,Am,0,0
6,1,Aw,3513,4341
6,1,Bd,0,0
6,1,Bm,0,0
6,1,Bw,3513,4341
6,1,Ce,0,0
6,1,Cm,0,0
6,1,Cw,3513,4341
6,1,X,3513,4341
6,1,Y,0,4341
7,1,Ad,0,0
7,1,Am,0,0
7,1,Aw,2981,3799
7,1,Bd,0,0
7,1,Bm,0,0
7,1,Bw,2981,3799
7,1,Ce,0,0
